season,round,driver,rating_mu
1951,5,villoresi,1744.92
1951,5,whitehead,1460.59
1951,6,ascari,1656.13
1951,6,bonetto,1482.29
1951,6,branca,1331.63
1951,6,cabantous,1549.35
1951,6,chiron,1337.49
1951,6,claes,1512.22
1951,6,duncan_hamilton,1451.6
1951,6,etancelin,1382.78
1951,6,fangio,1827.86
1951,6,farina,1499.36
1951,6,fischer,1606.05
1951,6,gonzalez,1774.28
1951,6,graffenried,1309.66
1951,6,levegh,1556.6
1951,6,manzon,1484.3
1951,6,pietsch,1332.28
1951,6,rosier,1614.51
1951,6,simon,1365.12
1951,6,swaters,1533.65
1951,6,taruffi,1640.52
1951,6,trintignant,1408.37
1951,6,villoresi,1775.53
1951,7,ascari,1779.13
1951,7,bonetto,1647.39
1951,7,cabantous,1597.93
1951,7,chiron,1397.9
1951,7,claes,1433.83
1951,7,fangio,1727.89
1951,7,farina,1532.23
1951,7,farina,1532.23
1951,7,gonzalez,1840.09
1951,7,graffenried,1296.46
1951,7,landi,1375.11
1951,7,levegh,1505.75
1951,7,manzon,1499.84
1951,7,reg_parnell,1471.27
1951,7,richardson,1343.04
1951,7,rol,1547.39
1951,7,rosier,1649.56
1951,7,simon,1525.49
1951,7,swaters,1477.26
1951,7,taruffi,1696.72
1951,7,trintignant,1473.7
1951,7,villoresi,1794.02
1951,7,whitehead,1369.94
1951,8,ascari,1806.38
1951,8,bira,1323.32
1951,8,bonetto,1704.13
1951,8,cabantous,1474.41
1951,8,chiron,1334.93
1951,8,claes,1441.83
1951,8,etancelin,1491.33
1951,8,fangio,1820.04
1951,8,farina,1662.73
1951,8,godia,1530.15
1951,8,gonzalez,1883.36
1951,8,graffenried,1468.73
1951,8,grignard,1432.66
1951,8,jover,1363.17
1951,8,manzon,1546.59
1951,8,rosier,1671.57
1951,8,simon,1514.62
1951,8,taruffi,1583.76
1951,8,trintignant,1433.79
1951,8,villoresi,1695.49
1952,1,abecassis,1356.26
1952,1,alan_brown,1608.28
1952,1,behra,1639.81
1952,1,bira,1444.98
1952,1,brandon,1558.83
1952,1,collins,1418.3
1952,1,farina,1524.43
1952,1,farina,1524.43
1952,1,fischer,1715.12
1952,1,graffenried,1575.42
1952,1,hans_stuck,1384.65
1952,1,hirt,1493.19
1952,1,macklin,1465.31
1952,1,manzon,1474.35
1952,1,moss,1513.6
1952,1,rosier,1443.89
1952,1,schell,1467.06
1952,1,simon,1520.72
1952,1,taruffi,1717.37
1952,1,terra,1336.21
1952,1,ulmen,1368.07
1952,1,wharton,1624.07
1952,2,agabashian,1328.48
1952,2,ascari,1416.8
1952,2,ayulo,1540.56
1952,2,ball,1347.45
1952,2,banks,1519.6
1952,2,bettenhausen,1424.36
1952,2,bob_scott,1325.08
1952,2,bryan,1661.14
1952,2,cross,1674.69
1952,2,darter,1760.68
1952,2,fonder,1534.08
1952,2,george_connor,1575.39
1952,2,griffith,1552.0
1952,2,hanks,1696.2
1952,2,hartley,1349.66
1952,2,james,1463.33
1952,2,johnson,1519.88
1952,2,linden,1338.6
1952,2,mcdowell,1350.61
1952,2,mcgrath,1691.67
1952,2,miller,1259.65
1952,2,nalon,1425.47
1952,2,parsons,1617.2
1952,2,rathmann,1674.79
1952,2,reece,1647.54
1952,2,rigsby,1578.43
1952,2,ruttman,1698.71
1952,2,schindler,1551.21
1952,2,stevenson,1472.38
1952,2,sweikert,1371.56
1952,2,vukovich,1431.63
1952,2,ward,1354.8
1952,2,webb,1418.11
1952,3,alan_brown,1652.46
1952,3,ascari,1623.68
1952,3,behra,1479.24
1952,3,bira,1501.99
1952,3,brandon,1578.49
1952,3,charrington,1434.96
1952,3,claes,1531.5
1952,3,collins,1309.98
1952,3,farina,1667.03
1952,3,frere,1608.01
1952,3,gaze,1451.17
1952,3,hawthorn,1623.24
1952,3,laurent,1499.25
1952,3,legat,1483.32
1952,3,macklin,1496.72
1952,3,manzon,1624.62
1952,3,moss,1346.13
1952,3,obrien,1467.3
1952,3,rosier,1342.22
1952,3,taruffi,1536.62
1952,3,tornaco,1578.35
1952,3,wharton,1455.57
1952,4,ascari,1738.33
1952,4,behra,1560.85
1952,4,bira,1462.06
1952,4,cabantous,1510.32
1952,4,carini,1328.78
1952,4,claes,1380.09
1952,4,collins,1481.8
1952,4,comotti,1431.73
1952,4,etancelin,1551.64
1952,4,farina,1750.24
1952,4,fischer,1614.64
1952,4,graffenried,1470.95
1952,4,hawthorn,1512.81
1952,4,hirt,1504.53
1952,4,macklin,1538.71
1952,4,manzon,1693.1
1952,4,rosier,1288.7
1952,4,schell,1305.86
1952,4,schell,1305.86
1952,4,taruffi,1656.98
1952,4,trintignant,1569.02
1952,4,whitehead,1323.33
1952,5,alan_brown,1492.19
1952,5,ascari,1845.81
1952,5,aston,1274.94
1952,5,bianco,1487.01
1952,5,bira,1572.12
1952,5,brandon,1490.31
1952,5,cantoni,1290.9
1952,5,claes,1495.32
1952,5,collins,1407.4
1952,5,crook,1443.51
1952,5,downing,1617.79
1952,5,duncan_hamilton,1378.96
1952,5,farina,1778.71
1952,5,fischer,1609.38
1952,5,gaze,1331.31
1952,5,graffenried,1460.13
1952,5,graham_whitehead,1574.07
1952,5,hawthorn,1703.17
1952,5,hirt,1308.69
1952,5,macklin,1548.04
1952,5,manzon,1400.67
1952,5,mcalpine,1517.76
1952,5,moss,1314.11
1952,5,murray,1313.75
1952,5,poore,1683.94
1952,5,reg_parnell,1632.93
1952,5,salvadori,1631.54
1952,5,schell,1416.95
1952,5,taruffi,1786.63
1952,5,thompson,1670.43
1952,5,trintignant,1396.35
1952,5,whitehead,1526.7
1952,6,ascari,1912.44
1952,6,aston,1292.15
1952,6,balsa,1480.16
1952,6,bechem,1465.38
1952,6,behra,1686.13
1952,6,bianco,1270.18
1952,6,bonetto,1445.57
1952,6,brudes,1494.86
1952,6,cantoni,1348.97
1952,6,carini,1208.0
1952,6,claes,1582.0
1952,6,farina,1851.74
1952,6,fischer,1737.65
1952,6,frere,1388.4
1952,6,gaze,1430.93
1952,6,heeks,1525.63
1952,6,helfrich,1325.12
1952,6,klenk,1569.86
1952,6,klodwig,1555.49
1952,6,krause,1433.63
1952,6,laurent,1641.82
1952,6,manzon,1494.5
1952,6,niedermayr,1598.47
1952,6,peters,1309.44
1952,6,pietsch,1288.67
1952,6,riess,1628.05
1952,6,schoeller,1418.62
1952,6,taruffi,1826.33
1952,6,trintignant,1337.41
1952,6,ulmen,1550.82
1952,7,ascari,1950.91
1952,7,behra,1506.13
1952,7,bianco,1204.36
1952,7,downing,1514.04
1952,7,duncan_hamilton,1481.71
